laptop_brand,processor_brand,processor_number,number_of_cores,ram_generation,ram_amount,storage_type,storage_amount,screen_size,price,condition,url,laptop_id
Hewlett Packard,intel,i7,2,ddr3,4gb,hdd,320gb,"12,5`",28350,used,https://www.kupindo.com/Laptopovi/47229953_HP-i7-4GB-RAM-320-GB-Intel-HD-4000-Akcija,47229953
Fujitsu,intel,i7,4,ddr3,8gb,hdd,2gb,15``,28000,used,https://www.kupindo.com/Laptopovi/45148033_Workstation-Fujitsu-CELSIUS-H710-i7-3-30GHz-8GB-HDD-500,45148033
Dell,intel,i7,4,ddr3,8gb,ssd,,17``,28000,used,https://www.kupindo.com/Laptopovi/54148971_Dell-Precision-M6500-Core-i7-8Gb-SSD-Nvidia-17-LED,54148971
Lenovo,intel,i5,2,ddr3,8 gb,ssd,,12.5` ,27450,used,https://www.kupindo.com/Laptopovi/46429193_Lenovo-i5-8gb-256-gb-SSD-Intel-HD-4000-Akcija,46429193
Lenovo,intel,i5,2,,4gb,hdd,500gb,15.6` ,27450,used,https://www.kupindo.com/Laptopovi/46870473_Lenovo-Intel-i5-4GB-500GB-Akcija,46870473
Hewlett Packard,intel,i5,2,ddr3,8gb,hdd,320 gb,Ostalo,27300,used,https://www.kupindo.com/Laptopovi/53046981_HP-ProBook-6570b-Intel-Core-i5,53046981
Hewlett Packard,intel,i5,2,ddr3,6gb,hdd,500gb,15``,27000,used,https://www.kupindo.com/Laptopovi/53449853_HP-Compaq-15-Intel-i5-3-Gen-6GB-500hdd-15-6-,53449853
Acer,intel,i5,2,ddr3,4gb,hdd,750gb,17``,27000,used,https://www.kupindo.com/Laptopovi/53915333_Laptop-Acer-Aspire-7750G-17-3-Intel-i5-2450M-4GB-Grafi,53915333
Lenovo,intel,i3,2,,4gb,ssd,, 13``,26991,used,https://www.kupindo.com/Laptopovi/49623509_lenovo-u330-i3-4th-Allu-Touch-SSD-Slim-Light-Keyboard,49623509
Dell,intel,i5,2,ddr3,4gb,hdd,320gb, 14``,26799,used,https://www.kupindo.com/Laptopovi/40529895_Dell-Inspirion-4110-i5-laptop,40529895
